id,kind,level,baseCP,currentCP
boss-98,enemy,98,425,425
Fara,hero,99,673.5,655.5
Hondo,hero,99,866.6,848.6
Runa,hero,99,866.7,848.7
Kaja,hero,99,784.1,766.1
fodder-99,enemy,99,65.3,65.3
routine-99,enemy,99,102.9,102.9
hard-99,enemy,99,214.2,214.2
elite-99,enemy,99,293.2,293.2
boss-99,enemy,99,429.7,429.7
